127.0.0.1, 2017-01-26 10:21:41, GET, /admin/default/index, HTTP/1.1, 303, 0.004189
127.0.0.1, 2017-01-26 10:21:41, GET, /admin/default/site, HTTP/1.1, 200, 0.035257
127.0.0.1, 2017-01-26 10:21:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2017-01-26 10:21:44, GET, /, HTTP/1.1, 303, 0.000578
127.0.0.1, 2017-01-26 10:21:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.023955
127.0.0.1, 2017-01-26 10:24:53, GET, /examples/default/index, HTTP/1.1, 200, 0.008234
127.0.0.1, 2017-01-26 10:25:02, GET, /examples/default/index, HTTP/1.1, 200, 0.008387
127.0.0.1, 2017-01-26 10:25:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.016469
127.0.0.1, 2017-01-26 10:27:27, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.036748
127.0.0.1, 2017-01-26 10:27:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
127.0.0.1, 2017-01-26 10:27:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.017458
127.0.0.1, 2017-01-26 10:27:48, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.032280
127.0.0.1, 2017-01-26 10:27:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000494
127.0.0.1, 2017-01-26 10:28:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.017569
127.0.0.1, 2017-01-26 10:33:06, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.056060
127.0.0.1, 2017-01-26 10:33:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/global/vars/response, HTTP/1.1, 200, 0.019415
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001033
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001746
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001326
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000231
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000507
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000289
127.0.0.1, 2017-01-26 10:33:12, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000407
127.0.0.1, 2017-01-26 10:33:17, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.033639
127.0.0.1, 2017-01-26 10:33:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/global/vars/T, HTTP/1.1, 200, 0.028817
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000264
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000580
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000861
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000316
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000357
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000239
127.0.0.1, 2017-01-26 10:33:21, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000258
127.0.0.1, 2017-01-26 10:33:23, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.032924
127.0.0.1, 2017-01-26 10:33:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2017-01-26 10:33:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.018432
127.0.0.1, 2017-01-26 10:34:18, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.039426
127.0.0.1, 2017-01-26 10:34:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2017-01-26 10:34:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.017551
127.0.0.1, 2017-01-26 10:34:30, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.032731
127.0.0.1, 2017-01-26 10:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2017-01-26 10:34:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.018128
127.0.0.1, 2017-01-26 10:42:26, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.161585
127.0.0.1, 2017-01-26 10:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2017-01-26 10:42:39, GET, /admin/default/peek/welcome/controllers/appadmin.py, HTTP/1.1, 200, 0.074274
127.0.0.1, 2017-01-26 10:42:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2017-01-26 10:43:35, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.080152
127.0.0.1, 2017-01-26 10:43:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2017-01-26 10:43:40, GET, /admin/default/peek/welcome/models/menu.py, HTTP/1.1, 200, 0.036783
127.0.0.1, 2017-01-26 10:43:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2017-01-26 10:44:50, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.075772
127.0.0.1, 2017-01-26 10:44:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2017-01-26 10:44:59, GET, /admin/default/peek/welcome/views/__init__.py, HTTP/1.1, 200, 0.043048
127.0.0.1, 2017-01-26 10:44:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2017-01-26 10:45:03, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.081374
127.0.0.1, 2017-01-26 10:45:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2017-01-26 10:45:05, GET, /admin/default/peek/welcome/views/appadmin.html, HTTP/1.1, 200, 0.052282
127.0.0.1, 2017-01-26 10:45:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2017-01-26 10:45:08, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.080997
127.0.0.1, 2017-01-26 10:45:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2017-01-26 10:45:22, GET, /welcome/static/_2.14.6/403.html, HTTP/1.1, 200, 0.000439
127.0.0.1, 2017-01-26 10:45:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2017-01-26 10:45:23, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.079030
127.0.0.1, 2017-01-26 10:45:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2017-01-26 10:45:25, GET, /welcome/static/_2.14.6/404.html, HTTP/1.1, 200, 0.000381
127.0.0.1, 2017-01-26 10:45:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2017-01-26 10:45:27, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.073253
127.0.0.1, 2017-01-26 10:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2017-01-26 10:45:29, GET, /welcome/static/_2.14.6/500.html, HTTP/1.1, 200, 0.000380
127.0.0.1, 2017-01-26 10:45:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2017-01-26 10:45:31, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.078718
127.0.0.1, 2017-01-26 10:45:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2017-01-26 10:45:58, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.032545
127.0.0.1, 2017-01-26 10:45:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2017-01-26 10:48:20, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.078564
127.0.0.1, 2017-01-26 10:48:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2017-01-26 10:49:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2017-01-26 10:52:00, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.030786
127.0.0.1, 2017-01-26 10:52:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2017-01-26 10:52:12, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.101956
127.0.0.1, 2017-01-26 10:52:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2017-01-26 10:52:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2017-01-26 10:56:54, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.038521
127.0.0.1, 2017-01-26 10:56:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2017-02-02 10:33:47, GET, /, HTTP/1.1, 303, 0.000690
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/default/index, HTTP/1.1, 200, 2.470894
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.044835
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.061684
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.060857
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.044454
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.060731
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.045656
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001071
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000516
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000753
127.0.0.1, 2017-02-02 10:33:50, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.023665
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.024957
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.024391
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.025147
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.023398
127.0.0.1, 2017-02-02 10:33:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000530
127.0.0.1, 2017-02-02 10:34:18, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 1.136939
127.0.0.1, 2017-02-02 10:34:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2017-02-02 10:34:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.066108
127.0.0.1, 2017-02-02 10:34:29, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.009032
127.0.0.1, 2017-02-02 10:34:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2017-02-02 10:34:53, GET, /, HTTP/1.1, 303, 0.000676
127.0.0.1, 2017-02-02 10:34:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.045384
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.047916
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/default/index, HTTP/1.1, 200, 0.094566
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.003761
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001822
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000555
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001175
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001592
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001310
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000653
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001354
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000552
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000459
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2017-02-02 10:34:55, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2017-02-02 10:34:56, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2017-02-02 10:34:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2017-02-02 10:34:59, POST, /admin/default/index, HTTP/1.1, 303, 0.028830
127.0.0.1, 2017-02-02 10:34:59, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.076742
127.0.0.1, 2017-02-02 10:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.092887
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.008287
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000351
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001848
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000777
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001060
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001631
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000659
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000585
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000289
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001044
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000533
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000876
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000779
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000989
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000721
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001272
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2017-02-02 10:35:37, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000623
